Player,Region
Ziv,TW
Alex,TW
Apex,TW
Wako,TW
Ysera,TW
Rainbow,TW
Licorice,NA
Blaber,NA
Nisqy,NA
Deftly,NA
Zeyzal,NA
Svenskeren,NA
Sneaky,NA
Huni,NA
Lira,NA
Damonte,NA
Cody Sun,NA
Vulcan,NA
Nuguri,KR
Canyon,KR
ShowMaker,KR
Nuclear,KR
BeryL,KR
Bwipo,EUW
Broxah,EUW
Nemesis,EUW
Rekkles,EUW
Hylissang,EUW
GimGoon,CN
Tian,CN
Doinb,CN
Lwx,CN
Crisp,CN
Wunder,EUW
Jankos,EUW
Caps,EUW
Perkz,EUW
Mikyx,EUW
Zeros,VN
Levi,VN
Kiaya,VN
Zin,VN
Slay,VN
Hieu3,VN
Sword,KR
Tarzan,KR
Chovy,KR
Viper,KR
Lehends,KR
3z,TW
Crash,TW
Mission,TW
Unified,TW
Kaiwing,TW
TheShy,CN
Ning,CN
RooKie,CN
JackeyLove,CN
Baolan,CN
Leyan,CN
Rest,TW
Hana,TW
FoFo,TW
LilV,TW
Koala,TW
Langx,CN
Karsa,CN
xiaohu,CN
Uzi,CN
Ming,CN
Khan,KR
Clid,KR
Faker,KR
Teddy,KR
Mata,KR
Effort,KR
Vizicsacsi,EUW
Xerxe,EUW
Humanoid,EUW
Kobbe,EUW
Tore,EUW
Impact,NA
Xmithie,NA
Jensen,NA
Doublelift,NA
CoreJJ,NA
Zeros,VN
Meliodas,VN
Naul,VN
BigKoro,VN
Palette,VN
XuHao,VN
Hanabi,TW
Bugi,TW
Rather,TW
Betty,TW
ShiauC,TW
Wunder,EUW
Jankos,EUW
Caps,EUW
Perkz,EUW
Mikyx,EUW
TheShy,CN
Ning,CN
RooKie,CN
JackeyLove,CN
Baolan,CN
Khan,KR
Clid,KR
Faker,KR
Teddy,KR
Mata,KR
Impact,NA
Xmithie,NA
Jensen,NA
Doublelift,NA
CoreJJ,NA
ssumday,NA
AnDa,NA
Ryu,NA
Rikara,NA
Aphromoo,NA
Kiin,KR
Spirit,KR
kurO,KR
Kramer,KR
TusiN,KR
Mowgli,KR
Licorice,NA
Svenskeren,NA
Jensen,NA
Sneaky,NA
Zeyzal,NA
Blaber,NA
Ray,CN
Haro,CN
Scout,CN
iBOY,CN
meiko,CN
ClearLove,CN
Hanabi,TW
MooJin,TW
Maple,TW
Betty,TW
SwordArt,TW
sOAZ,EUW
Broxah,EUW
Caps,EUW
Rekkles,EUW
Hylissang,EUW
Bwipo,EUW
Pk,TW
Empt2y,TW
Candy,TW
Stitch,TW
Koala,TW
baybay,TW
Wunder,EUW
Jankos,EUW
Perkz,EUW
Hjarnan,EUW
Wadid,EUW
CuVee,KR
Haru,KR
Crown,KR
Ruler,KR
CoreJJ,KR
Ambition,KR
TheShy,CN
Ning,CN
RooKie,CN
JackeyLove,CN
Baolan,CN
Duke,CN
Smeb,KR
Score,KR
Ucal,KR
Deft,KR
Mata,KR
Liang,TW
Benny,TW
Uniboy,TW
Breeze,TW
K,TW
Kongyue,TW
Zeros,VN
XuHao,VN
Naul,VN
BigKoro,VN
Palette,VN
Meliodas,VN
LetMe,CN
Mlxg,CN
xiaohu,CN
Uzi,CN
Ming,CN
Karsa,CN
Impact,NA
Xmithie,NA
Pobelter,NA
Doublelift,NA
Olleh,NA
Cabochard,EUW
Kikis,EUW
Jiizuke,EUW
Attila,EUW
jactroll,EUW
Stark,VN
YiJin,VN
Warzone,VN
Slay,VN
RonOP,VN
Hanabi,TW
MooJin,TW
Maple,TW
Betty,TW
SwordArt,TW
Bwipo,EUW
Broxah,EUW
Caps,EUW
Rekkles,EUW
Hylissang,EUW
sOAZ,EUW
Khan,KR
Peanut,KR
Bdd,KR
PraY,KR
GorillA,KR
Cuzz,KR
LetMe,CN
Karsa,CN
xiaohu,CN
Uzi,CN
Ming,CN
Mlxg,CN
Impact,NA
Xmithie,NA
Pobelter,NA
Doublelift,NA
Olleh,NA
Joey,NA
Thaldrin,TR
Crash,TR
Frozen,TR
padden,TR
Japone,TR
Ziv,TW
Mountain,TW
westdoor,TW
An,TW
Albis,TW
Chawy,TW
Impact,NA
Contractz,NA
Jensen,NA
Sneaky,NA
Smoothie,NA
Mouse,CN
ClearLove,CN
Scout,CN
iBOY,CN
meiko,CN
MMD,TW
Karsa,TW
Maple,TW
Betty,TW
SwordArt,TW
sOAZ,EUW
Broxah,EUW
Caps,EUW
Rekkles,EUW
Jesiz,EUW
Expect,EUW
Trick,EUW
Perkz,EUW
Zven,EUW
Mithy,EUW
Archie,SEA
Levi,SEA
Optimus,SEA
Noway,SEA
Sya,SEA
Nevan,SEA
Flame,NA
Xmithie,NA
Pobelter,NA
Cody Sun,NA
Olleh,NA
Khan,KR
Cuzz,KR
Bdd,KR
PraY,KR
GorillA,KR
Rascal,KR
Alphari,EUW
Maxlore,EUW
PowerOfEvil,EUW
Hans sama,EUW
IgNar,EUW
LetMe,CN
Mlxg,CN
xiaohu,CN
Uzi,CN
Ming,CN
CuVee,KR
Ambition,KR
Crown,KR
Ruler,KR
CoreJJ,KR
Haru,KR
Huni,KR
blank,KR
Faker,KR
Bang,KR
Wolf,KR
Peanut,KR
Hauntzer,NA
Svenskeren,NA
Bjergsen,NA
Doublelift,NA
Biofrost,NA
957,CN
Condi,CN
xiye,CN
Mystic,CN
Ben,CN
MMD,TW
Karsa,TW
Maple,TW
Betty,TW
SwordArt,TW
Expect,EUW
Trick,EUW
Perkz,EUW
Zven,EUW
Mithy,EUW
Stark,SEA
Levi,SEA
Optimus,SEA
Slay,SEA
Archie,SEA
Huni,KR
Peanut,KR
Faker,KR
Bang,KR
Wolf,KR
Hauntzer,NA
Svenskeren,NA
Bjergsen,NA
WildTurtle,NA
Biofrost,NA
957,CN
Condi,CN
xiye,CN
Mystic,CN
Zero,CN
Ben,CN
Ziv,TW
Mountain,TW
westdoor,TW
An,TW
Albis,TW
Chawy,TW
Smurf,WC
PvPStejos,WC
Kira,WC
aMiracle,WC
Likkrit,WC
ZionSpartan,NA
Xmithie,NA
Huhi,NA
Stixxay,NA
Aphromoo,NA
Impact,NA
Meteos,NA
Jensen,NA
Sneaky,NA
Smoothie,NA
Koro1,CN
ClearLove,CN
Scout,CN
Deft,CN
meiko,CN
Mouse,CN
PawN,CN
MMD,TW
Karsa,TW
Maple,TW
NL,TW
SwordArt,TW
Expect,EUW
Trick,EUW
Perkz,EUW
Zven,EUW
Mithy,EUW
Odoamne,EUW
Jankos,EUW
Ryu,EUW
FORG1VEN,EUW
VandeR,EUW
AmazingJ,CN
Avoidless,CN
Athena,CN
jinjiao,CN
road,CN
Athena,CN
BaeMe,CN
Avoidless,CN
yang,WC
Revolta,WC
Tockers,WC
micaO,WC
Jockster,WC
Smeb,KR
Peanut,KR
kurO,KR
PraY,KR
GorillA,KR
Looper,CN
Mlxg,CN
xiaohu,CN
Uzi,CN
Mata,CN
CuVee,KR
Ambition,KR
Crown,KR
Ruler,KR
CoreJJ,KR
Wraith,KR
Duke,KR
bengi,KR
Faker,KR
Bang,KR
Wolf,KR
blank,KR
Wunder,EUW
Kold,EUW
Sencux,EUW
Kobbe,EUW
Mikyx,EUW
Hauntzer,NA
Svenskeren,NA
Bjergsen,NA
Doublelift,NA
Biofrost,NA
ZionSpartan,NA
Xmithie,NA
Huhi,NA
Stixxay,NA
Aphromoo,NA
MMD,TW
Karsa,TW
Maple,TW
NL,TW
SwordArt,TW
Kikis,EUW
Trick,EUW
Perkz,EUW
Emperor,EUW
Hybrid,EUW
Looper,CN
Mlxg,CN
xiaohu,CN
Wuxx,CN
Mata,CN
Duke,KR
blank,KR
Faker,KR
Bang,KR
Wolf,KR
fabFabulous,WC
Stomaged,WC
Naru,WC
Achuu,WC
Dumbledoge,WC
Thaldrin,WC
